iter	Passed	Remaining
532	15065	13199
533	15097	13174
534	15129	13150
535	15162	13126
536	15190	13096
537	15218	13068
538	15244	13038
539	15272	13009
540	15298	12979
541	15325	12950
542	15352	12921
543	15386	12897
544	15417	12871
545	15451	12847
546	15484	12823
547	15517	12799
548	15543	12768
549	15569	12738
550	15596	12708
551	15623	12679
552	15650	12650
553	15678	12621
554	15704	12591
555	15731	12562
556	15757	12532
557	15784	12502
558	15810	12473
559	15837	12443
560	15867	12416
561	15899	12391
562	15932	12366
563	15965	12342
564	15999	12318
565	16026	12289
566	16052	12258
567	16079	12229
568	16107	12200
569	16134	12171
570	16161	12142
571	16188	12112
572	16215	12083
573	16241	12053
574	16268	12024
575	16294	11994
576	16321	11965
577	16349	11936
578	16377	11908
579	16404	11878
580	16431	11849
581	16458	11820
582	16484	11790
583	16511	11761
584	16542	11735
585	16575	11710
586	16607	11684
587	16637	11657
588	16671	11633
589	16699	11604
590	16725	11574
591	16752	11545
592	16779	11516
593	16806	11487
594	16831	11456
595	16858	11427
596	16884	11397
597	16911	11368
598	17013	11389
599	17057	11371
600	17084	11342
601	17111	11312
602	17137	11283
603	17164	11253
604	17192	11225
605	17219	11195
606	17247	11166
607	17277	11139
608	17310	11113
609	17342	11087
610	17374	11061
611	17407	11036
612	17437	11008
613	17464	10979
614	17491	10950
615	17519	10921
616	17548	10892
617	17578	10865
618	17607	10837
619	17637	10810
620	17665	10781
621	17691	10751
622	17717	10721
623	17744	10692
624	17771	10663
625	17797	10633
626	17823	10603
627	17850	10573
628	17876	10543
629	17903	10514
630	17930	10485
631	17957	10456
632	17984	10427
633	18011	10397
634	18038	10368
635	18065	10339
636	18092	10310
637	18119	10280
638	18146	10251
639	18174	10222
640	18208	10197
641	18240	10171
642	18275	10146
643	18307	10120
644	18338	10093
645	18365	10063
646	18391	10034
647	18418	10005
648	18445	9976
649	18474	9947
650	18501	9918
651	18527	9889
652	18555	9860
653	18583	9831
654	18609	9801
655	18636	9772
656	18663	9743
657	18690	9714
658	18717	9685
659	18744	9656
660	18773	9628
661	18800	9599
662	18828	9570
663	18855	9541
664	18883	9512
665	18909	9483
666	18936	9454
667	18963	9424
668	18990	9395
669	19016	9366
670	19043	9337
671	19070	9308
672	19099	9280
673	19126	9250
674	19152	9221
675	19179	9192
676	19206	9163
677	19235	9135
678	19266	9108
679	19297	9081
680	19328	9053
