rating,production_year,director,age_rating,duration,budget,target_log,main_genre,month,director_film_count,actors_fame
5.7,2016,Роберт Швентке,12+,121,110000000.0,19.004274564488007,фантастика,март,7,25
6.6,2017,Other,18+,103,58000000.0,18.42608417906717,ужасы,март,3,64
7.066666666666667,2008,Other,18+,74,3113265.2654867256,9.990398924525424,документальный,март,1,1
7.2,2018,Other,18+,122,35000000.0,18.144106655447104,боевик,июнь,1,41
6.4432111000991075,2018,Other,undefined,81,20635465.661466457,10.166582319352566,триллер,январь,1,3
6.7,2005,"Джей Дюпласс, Марк Дюпласс",undefined,85,15000.0,12.182056554047783,драма,октябрь,5,12
5.5,2009,Ноа Баумбак,18+,103,15338528.770776752,15.632607472483805,драма,февраль,9,54
4.5,2024,Other,18+,86,20635465.661466457,14.19059961664203,триллер,март,1,3
7.2,2013,Лассе Халльстрём,12+,115,28000000.0,18.396328008597184,триллер,февраль,11,23
6.20876585928489,2015,Other,undefined,95,22235437.828422878,11.42192797214817,комедия,декабрь,4,3
6.4,1986,Other,12+,102,22235437.828422878,16.469106051622024,комедия,апрель,4,66
6.6,1985,Other,16+,94,22235437.828422878,15.01947516225659,комедия,апрель,2,6
7.6,1996,Other,0+,93,15338528.770776752,13.82330212471849,драма,ноябрь,1,6
7.1,1981,Майкл Манн,16+,123,5500000.0,16.257241316517405,триллер,март,11,37
6.2,2006,Майкл Полиш,12+,104,13000000.0,16.22523459427579,фантастика,октябрь,9,46
6.6960409556314,1982,Other,undefined,107,15338528.770776752,15.712834272095943,драма,декабрь,4,18
7.066666666666667,2011,Other,undefined,101,3113265.2654867256,11.24371179680149,документальный,сентябрь,1,1
4.8,2015,Other,undefined,93,39390215.67272727,9.018332049592685,боевик,апрель,2,61
6.6,2012,Other,18+,110,40000000.0,18.250888391836327,драма,май,4,71
6.2,1985,Other,16+,92,9000000.0,16.59537760382925,боевик,ноябрь,4,18
6.9,1970,Other,undefined,124,15338528.770776752,16.40327459319198,драма,май,4,22
6.8,1993,Фред Скеписи,18+,112,12000000.0,15.672732808569782,драма,декабрь,9,72
6.6,2013,Other,18+,103,20635465.661466457,13.003557318638203,триллер,январь,1,40
6.20876585928489,1979,Other,undefined,102,22235437.828422878,15.929503998131786,комедия,ноябрь,1,4
7.0,1974,Роберт Олдрич,12+,121,2900000.0,17.576898446725046,криминал,август,7,44
7.2,1992,Other,undefined,113,10000000.0,12.858522823758015,драма,сентябрь,1,59
7.9,1993,Other,undefined,101,58972095.5704698,17.259169389505022,фэнтези,август,3,3
7.3,1988,Other,undefined,90,3113265.2654867256,13.159501153518883,документальный,октябрь,1,3
6.9,1975,Роберт Олтмен,undefined,160,2200000.0,16.116506689227,драма,июнь,19,16
6.1,2000,Other,18+,100,85000000.0,19.028334146296,комедия,ноябрь,1,30
7.3,1968,Норман Джуисон,16+,102,4300000.0,16.457638169436752,триллер,июнь,17,32
5.0,1984,Other,undefined,85,20635465.661466457,15.766491400723707,триллер,май,2,15
6.9,1995,Other,0+,83,2000000.0,14.053452865518533,комедия,февраль,1,43
5.5,1994,Other,16+,95,5000000.0,14.34754605368716,боевик,январь,1,23
6.9,2010,Уилл Глак,18+,92,8000000.0,18.13236253587588,комедия,сентябрь,6,25
7.3,2001,Пенни Маршалл,18+,132,48000000.0,17.39187362077109,драма,октябрь,7,47
5.8,1985,Джордж Батлер,18+,107,3113265.2654867256,13.350375060115399,документальный,май,5,3
7.9,1999,Other,18+,109,6000000.0,10.324530690607611,боевик,август,2,45
6.4432111000991075,2001,Other,18+,114,1900000.0,9.00810178134187,триллер,декабрь,3,5
7.2,1977,Стивен Спилберг,12+,138,20000000.0,19.478802441513377,фантастика,ноябрь,33,39
